ESTACION,LONG,LAT
3MAY,-95.0636,18.5371
AGUA,-95.1114,17.9735
AGUC,-95.0371,17.8777
CANU,-95.0709,17.7052
CATE,-95.1238,18.3997
CAUD,-95.0667,17.8204
CERQ,-95.0494,17.9083
CHIL,-95.0023,16.8317
CHIV,-94.9947,16.7311
CONU,-95.1196,18.1106
COYO,-95.1177,18.153
CUAU,-95.0518,17.7516
DONA,-95.0592,17.2301
EBTT,-95.074,18.5842
EGIP,-91.9752,17.2648
ELME,-94.9577,16.6939
ESMA,-95.0466,18.0176
ESPE,-95.1064,17.2929
GUVI,-95.0886,17.6398
GUVI,-95.0886,17.6398
GUVI,-95.0886,17.6398
INUV,-95.0458,18.4595
IXTA,-95.0591,16.5036
IXTE,-95.1223,16.5635
JECA,-95.024,17.4307
JUCH,-95.0122,16.4497
LACU,-95.0497,17.3334
MACA,-95.021,17.5964
MANG,-95.1247,18.2375
MARO,-95.0362,16.882
MAZH,-94.9474,16.6325
MEAG,-95.0266,17.6637
MOGO,-95.0283,17.0054
MONT,-95.0944,18.6387
NUMO,-95.0848,17.5269
PALO,-95.0659,17.1414
PARE,-95.046,17.0742
RACI,-95.0838,18.1808
RIVA,-95.0289,16.7643
ROLI,-95.102,16.3151
SAJO,-95.0698,17.7704
SAMM,-94.9944,16.2082
SARO,-95.1174,18.2969
SONT,-95.0352,18.504
SUCH,-94.9888,17.3801
TOLO,-95.0466,17.195
TUXT,-96.1642,18.0121
TUXT,-96.1642,18.0121
XADA,-95.0234,16.3677
ZAPO,-95.0976,18.3329
